iter	Passed	Remaining
930	10442	773
931	10452	762
932	10463	751
933	10473	740
934	10484	728
935	10495	717
936	10507	706
937	10517	695
938	10528	683
939	10539	672
940	10551	661
941	10564	650
942	10576	639
943	10588	628
944	10600	616
945	10612	605
946	10624	594
947	10635	583
948	10646	572
949	10656	560
950	10667	549
951	10678	538
952	10688	527
953	10699	515
954	10709	504
955	10720	493
956	10731	482
957	10742	470
958	10753	459
959	10763	448
960	10781	437
961	10792	426
962	10803	415
963	10813	403
964	10824	392
965	10835	381
966	10847	370
967	10857	358
968	10868	347
969	10879	336
970	10889	325
971	10900	314
972	10910	302
973	10921	291
974	10932	280
975	10943	269
976	10953	257
977	10964	246
978	10975	235
979	10985	224
980	10995	212
981	11007	201
982	11018	190
983	11029	179
984	11039	168
985	11050	156
986	11062	145
987	11073	134
988	11085	123
989	11096	112
990	11107	100
991	11118	89
992	11129	78
993	11140	67
994	11153	56
995	11164	44
996	11174	33
997	11184	22
998	11196	11
999	11206	0
